slug,country,courses,ug,pg,flags,impressions_90d,clicks_90d,last_data_date
durham-university,UK,314,144,170,"",1,0,2026-06-30
university-of-glasgow,UK,282,0,282,"PG ONLY",1,0,2026-08-25
university-of-sheffield,UK,127,0,127,"PG ONLY",1,0,2026-08-25
university-of-southampton,UK,472,206,266,"",0,0,2026-06-13
university-of-exeter,UK,394,177,217,"",0,0,2026-06-29
university-of-bath,UK,701,278,423,"",4,0,2026-06-13
university-of-nottingham,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-leicester,UK,0,0,0,"NO COURSE DATA",1,0,
newcastle-university,UK,228,0,228,"PG ONLY",2,0,2026-08-25
queen-mary-university-london,UK,10,0,10,"PG ONLY; THIN (10)",7,0,2026-07-02
lancaster-university,UK,0,0,0,"NO COURSE DATA",1,0,
university-of-york,UK,218,0,218,"PG ONLY",0,0,2026-08-25
cardiff-university,UK,0,0,0,"NO COURSE DATA",1,0,
university-of-aberdeen,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-surrey,UK,173,17,156,"",0,0,2026-07-01
loughborough-university,UK,236,41,195,"",0,0,2026-06-29
university-of-reading,UK,130,71,59,"",1,0,2026-07-01
university-of-kent,UK,0,0,0,"NO COURSE DATA",1,0,
university-of-essex,UK,0,0,0,"NO COURSE DATA",1,0,
city-university-london,UK,0,0,0,"NO COURSE DATA",0,0,
heriot-watt-university,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-strathclyde,UK,561,0,561,"PG ONLY",2,0,2026-06-29
university-of-dundee,UK,176,0,176,"PG ONLY",0,0,2026-08-25
swansea-university,UK,95,0,95,"PG ONLY",3,0,2026-08-25
aston-university,UK,6,0,6,"PG ONLY; THIN (6)",0,0,2026-07-02
goldsmiths-university-london,UK,33,25,8,"",0,0,2026-07-30
royal-holloway-university-london,UK,136,57,79,"",0,0,2026-08-25
university-of-sussex,UK,56,0,56,"PG ONLY",0,0,2026-08-25
birmingham-city-university,UK,5,3,2,"THIN (5)",1,0,2026-08-24
manchester-metropolitan-university,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-west-of-england,UK,41,0,41,"PG ONLY",0,0,2026-07-04
oxford-brookes-university,UK,85,0,85,"PG ONLY",0,0,2026-08-25
kingston-university-london,UK,60,0,60,"PG ONLY",0,0,2026-08-25
university-of-east-london,UK,159,0,159,"PG ONLY",0,0,2026-08-25
university-of-greenwich,UK,20,0,20,"PG ONLY",0,0,2026-07-30
london-metropolitan-university,UK,49,0,49,"PG ONLY",1,0,2026-07-04
university-of-salford,UK,7,7,0,"UG ONLY; THIN (7)",0,0,2026-07-30
university-of-plymouth,UK,1,0,1,"PG ONLY; THIN (1)",0,0,2026-07-30
university-of-brighton,UK,0,0,0,"NO COURSE DATA",0,0,
bournemouth-university,UK,45,0,45,"PG ONLY",0,0,2026-08-22
university-of-central-lancashire,UK,11,0,11,"PG ONLY; THIN (11)",0,0,2026-07-30
university-of-huddersfield,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-bradford,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-sunderland,UK,129,49,80,"",0,0,2026-08-25
teesside-university,UK,0,0,0,"NO COURSE DATA",1,0,
university-of-derby,UK,75,27,48,"",0,0,2026-08-22
university-of-lincoln,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-wolverhampton,UK,0,0,0,"NO COURSE DATA",0,0,
staffordshire-university,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-bedfordshire,UK,0,0,0,"NO COURSE DATA",1,0,
university-of-east-anglia,UK,104,59,45,"",0,0,2026-08-22
university-of-stirling,UK,0,0,0,"NO COURSE DATA",0,0,
robert-gordon-university,UK,91,0,91,"PG ONLY",0,0,2026-08-25
university-of-south-wales,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-the-arts-london,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-roehampton,UK,36,3,33,"",0,0,2026-08-22
university-of-worcester,UK,0,0,0,"NO COURSE DATA",0,0,
university-of-gloucestershire,UK,45,0,45,"PG ONLY",0,0,2026-07-04
university-of-suffolk,UK,40,0,40,"PG ONLY",1,0,2026-08-22
university-college-dublin,Ireland,87,49,38,"",7,0,2026-06-30
university-college-cork,Ireland,0,0,0,"NO COURSE DATA",9,0,
university-of-galway,Ireland,0,0,0,"NO COURSE DATA",0,0,
dublin-city-university,Ireland,217,12,205,"",7,0,2026-08-25
maynooth-university,Ireland,0,0,0,"NO COURSE DATA",0,0,
technological-university-dublin,Ireland,0,0,0,"NO COURSE DATA",0,0,
rcsi-university-of-medicine,Ireland,0,0,0,"NO COURSE DATA",0,0,
dublin-business-school,Ireland,41,19,22,"",3,0,2026-07-30
griffith-college-dublin,Ireland,0,0,0,"NO COURSE DATA",1,0,
national-college-of-ireland,Ireland,1,0,1,"PG ONLY; THIN (1)",1,0,2026-07-30
atlantic-technological-university,Ireland,0,0,0,"NO COURSE DATA",2,0,
south-east-technological-university,Ireland,0,0,0,"NO COURSE DATA",5,0,
munster-technological-university,Ireland,0,0,0,"NO COURSE DATA",7,0,
university-of-limerick,Ireland,0,0,0,"NO COURSE DATA",1,0,
university-of-queensland,Australia,120,107,13,"",7,0,2026-06-29
australian-national-university,Australia,344,91,253,"",11,0,2026-07-08
university-of-sydney,Australia,514,133,381,"",3,0,2026-06-29
university-of-western-australia,Australia,0,0,0,"NO COURSE DATA",7,0,
university-of-adelaide,Australia,523,290,233,"",0,0,2026-08-22
macquarie-university,Australia,0,0,0,"NO COURSE DATA",1,0,
rmit-university,Australia,471,110,361,"",1,0,2026-06-29
university-of-tasmania,Australia,0,0,0,"NO COURSE DATA",5,0,
university-of-sunshine-coast,Australia,46,45,1,"",0,0,2026-07-30
australian-catholic-university,Australia,0,0,0,"NO COURSE DATA",6,0,
edith-cowan-university,Australia,242,127,115,"",10,0,2026-07-09
curtin-university,Australia,0,0,0,"NO COURSE DATA",1,0,
deakin-university,Australia,0,0,0,"NO COURSE DATA",0,0,
university-of-newcastle-australia,Australia,0,0,0,"NO COURSE DATA",1,0,
university-of-new-england-australia,Australia,0,0,0,"NO COURSE DATA",2,0,
university-of-southern-queensland,Australia,0,0,0,"NO COURSE DATA",1,0,
western-sydney-university,Australia,0,0,0,"NO COURSE DATA",4,0,
university-of-south-australia,Australia,0,0,0,"NO COURSE DATA",0,0,
university-of-canberra,Australia,0,0,0,"NO COURSE DATA",3,0,
bond-university,Australia,0,0,0,"NO COURSE DATA",0,0,
southern-cross-university,Australia,0,0,0,"NO COURSE DATA",0,0,
federation-university,Australia,0,0,0,"NO COURSE DATA",0,0,
torrens-university-australia,Australia,0,0,0,"NO COURSE DATA",7,0,
holmes-institute,Australia,0,0,0,"NO COURSE DATA",1,0,
think-education-australia,Australia,0,0,0,"NO COURSE DATA",0,0,
navitas-australia,Australia,0,0,0,"NO COURSE DATA",0,0,
lmu-munich,Germany,0,0,0,"NO COURSE DATA",5,0,
heidelberg-university,Germany,0,0,0,"NO COURSE DATA",0,0,
humboldt-university-berlin,Germany,0,0,0,"NO COURSE DATA",8,0,
free-university-berlin,Germany,0,0,0,"NO COURSE DATA",0,0,
technical-university-berlin,Germany,0,0,0,"NO COURSE DATA",0,0,
university-of-hamburg,Germany,46,0,46,"PG ONLY",0,0,2026-07-01
goethe-university-frankfurt,Germany,0,0,0,"NO COURSE DATA",1,0,
university-of-stuttgart,Germany,0,0,0,"NO COURSE DATA",0,0,
karlsruhe-institute-of-technology,Germany,0,0,0,"NO COURSE DATA",3,0,
university-of-cologne,Germany,0,0,0,"NO COURSE DATA",0,0,
university-of-bonn,Germany,0,0,0,"NO COURSE DATA",0,0,
tu-dresden,Germany,0,0,0,"NO COURSE DATA",1,0,
university-of-mannheim,Germany,0,0,0,"NO COURSE DATA",0,0,
victoria-university-wellington,New Zealand,150,26,124,"",2,0,2026-08-25
university-of-canterbury,New Zealand,0,0,0,"NO COURSE DATA",4,0,
university-of-otago,New Zealand,74,47,27,"",1,0,2026-06-30
massey-university,New Zealand,176,57,117,"",0,0,2026-07-08
auckland-university-of-technology,New Zealand,0,0,0,"NO COURSE DATA",1,0,
university-of-waikato,New Zealand,0,0,0,"NO COURSE DATA",0,0,
lincoln-university-new-zealand,New Zealand,0,0,0,"NO COURSE DATA",3,0,
yale-university,USA,0,0,0,"NO COURSE DATA",1,0,
princeton-university,USA,0,0,0,"NO COURSE DATA",2,0,
columbia-university,USA,0,0,0,"NO COURSE DATA",0,0,
cornell-university,USA,0,0,0,"NO COURSE DATA",0,0,
dartmouth-college,USA,0,0,0,"NO COURSE DATA",0,0,
brown-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-pennsylvania,USA,0,0,0,"NO COURSE DATA",0,0,
caltech,USA,0,0,0,"NO COURSE DATA",0,0,
johns-hopkins-university,USA,0,0,0,"NO COURSE DATA",2,0,
duke-university,USA,0,0,0,"NO COURSE DATA",0,0,
northwestern-university,USA,0,0,0,"NO COURSE DATA",1,0,
vanderbilt-university,USA,0,0,0,"NO COURSE DATA",0,0,
emory-university,USA,0,0,0,"NO COURSE DATA",0,0,
rice-university,USA,0,0,0,"NO COURSE DATA",1,0,
georgetown-university,USA,0,0,0,"NO COURSE DATA",0,0,
notre-dame-university,USA,0,0,0,"NO COURSE DATA",0,0,
tufts-university,USA,0,0,0,"NO COURSE DATA",0,0,
boston-university,USA,0,0,0,"NO COURSE DATA",0,0,
new-york-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-southern-california,USA,0,0,0,"NO COURSE DATA",0,0,
fordham-university,USA,0,0,0,"NO COURSE DATA",0,0,
ucla,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-michigan,USA,0,0,0,"NO COURSE DATA",0,0,
ut-austin,USA,0,0,0,"NO COURSE DATA",5,0,
unc-chapel-hill,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-washington,USA,0,0,0,"NO COURSE DATA",1,0,
ohio-state-university,USA,0,0,0,"NO COURSE DATA",0,0,
penn-state-university,USA,0,0,0,"NO COURSE DATA",1,0,
university-of-florida,USA,0,0,0,"NO COURSE DATA",0,0,
uc-san-diego,USA,0,0,0,"NO COURSE DATA",0,0,
uc-davis,USA,100,0,100,"PG ONLY",0,0,2026-08-25
uc-santa-barbara,USA,0,0,0,"NO COURSE DATA",0,0,
virginia-tech,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-maryland,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-wisconsin-madison,USA,0,0,0,"NO COURSE DATA",0,0,
